mleIU,6,9,10.7,13.8,17.6,18.2,20.6,24.8,29.6,29.7,
mleIU,5.1,8.4,11.5,11.5,15.5,18,20,23.3,29.4,37.8,
mleIU,7.3,7.6,10.6,12,15.8,18.2,21.7,28.5,30.1,37.6,
mleSU,5.8,7.4,11.1,15.1,18.6,17.7,19.7,24,26.7,29.5,
mleSU,6.7,8.5,10.6,13.1,15.9,20.6,22.5,21.5,33.8,34.9,
mleSU,6,7,10.7,13,17.2,20.8,21.4,28.6,25.7,29.1,
hurIU,1.6,1.8,2.3,3.2,3.7,4.8,5.4,6.1,7.4,8,
hurIU,1.2,1.8,2.4,3.2,4,4.4,5.5,6.5,7.1,8,
hurIU,1.2,1.6,2.1,3.1,4,4.8,6,6.6,7.4,7.7,
hurSU,1.2,2.3,2.5,3.3,4.2,4.5,5.5,6.4,7,8.1,
hurSU,1,1.8,2.5,3.5,4.4,5.2,6,6.6,7.5,8.1,
hurSU,1.4,2.4,2.4,3.2,3.9,4.4,5.5,6.1,7,8,
enhancedIU,2.1,6.3,4.6,7.4,10.2,10.7,13.8,12,17.3,19.6,
enhancedIU,0.9,4,6,8.9,9,20.3,22,24.8,20,28.1,
enhancedIU,1.5,4.5,6.5,5.8,10.9,10.7,16.5,22.9,17.9,21.7,
enhancedSU,1.2,4.2,7.8,10.6,12.8,9.2,15,26,18.2,29.3,
enhancedSU,2.4,5.9,7.4,5.2,11.2,18.8,19.5,17.4,14.7,34,
enhancedSU,1.9,5.2,7.3,5,8.7,9.9,18.7,20.9,31,34.5,
dynamicIU,2.4,4.1,7.4,10.4,25.2,31.3,24.7,49.3,54.2,60.2,
dynamicIU,1.9,6.3,7.8,18.1,25.5,30.6,39.2,52.8,51,76.5,
dynamicIU,1.8,6.9,9,11.5,24.1,28.5,43.2,53.4,78.1,68.3,
dynamicSU,2.3,8.5,12.2,11.2,22.1,12.9,25.3,33.7,38.7,56.1,
dynamicSU,2.2,3.7,12.3,14.8,27.6,13.1,31.5,36.5,51.8,52,
dynamicSU,3.4,5.9,11.7,19.3,16.9,18.3,18.9,23.6,34.2,96.5,
